,COUNTY,STATE,LENDERS,POPULATION,PERCENT_WHITE,PERCENT_BLACK,PERCENT_HISPANIC,MEDIAN_INCOME,PERCENT_HIGH_SCHOOL_OR_ABOVE,LENDERS_PER_100000_PEOPLE
553,Portage County,Ohio,0,162382,87.2,3.7,2.2,64471,60.6,0
554,Richland County,Ohio,3,125195,83.5,6.1,2.2,51158,63,2.4
555,Ross County,Ohio,0,76891,89,4.1,1.2,50395,63.1,0
556,Scioto County,Ohio,0,73346,92.5,2,1.6,40522,62.2,0
557,Stark County,Ohio,10,373834,85.4,6.1,2.4,59127,64.9,2.67
558,Summit County,Ohio,15,537633,74.2,12.3,2.5,63117,65.5,2.79
559,Trumbull County,Ohio,11,201335,85.2,7.8,2.1,51057,64.8,5.46
560,Tuscarawas County,Ohio,0,92500,93.9,0.9,3.6,58060,64.1,0
561,Warren County,Ohio,3,246553,83.6,3.4,3.2,95817,64.3,1.22
562,Wayne County,Ohio,0,116710,93.5,1.7,2.2,59666,56.3,0
563,Wood County,Ohio,0,132472,87,1.8,6.1,63620,59.3,0
564,Canadian County,Oklahoma,7,161737,74.6,3.5,11,74768,59.7,4.33
565,Cleveland County,Oklahoma,11,297597,70,5.4,9.9,67172,59.8,3.7
566,Comanche County,Oklahoma,8,122063,57.2,13.7,14.3,49325,56.6,6.55
567,Creek County,Oklahoma,5,72029,74.3,2.4,5.1,52818,61.8,6.94
568,Muskogee County,Oklahoma,6,66146,54.6,9.3,7.2,43437,57,9.07
569,Oklahoma County,Oklahoma,72,798575,59.5,14.5,18.5,57764,57.7,9.02
570,Payne County,Oklahoma,4,81989,76.3,3.9,5,49348,52.1,4.88
571,Pottawatomie County,Oklahoma,4,73019,70.6,2.6,5.8,51451,60.3,5.48
572,Rogers County,Oklahoma,6,96695,70,0.5,5.5,68777,62.2,6.21
573,Tulsa County,Oklahoma,56,672858,61.3,9.4,13.9,58954,59.4,8.32
574,Wagoner County,Oklahoma,0,84050,66.7,3.3,7.6,70313,63.1,0
575,Benton County,Oregon,0,96017,80,1.4,8.2,64163,59.4,0
576,Clackamas County,Oregon,7,422537,78.1,0.9,9.5,91329,68.2,1.66
577,Deschutes County,Oregon,4,204801,87,0.4,8.6,79796,70.4,1.95
578,Douglas County,Oregon,0,111978,84.5,0.2,6.5,51166,68.1,0
579,Jackson County,Oregon,0,223734,79,0.6,14.3,64249,66.4,0
580,Josephine County,Oregon,0,88346,85.9,0,8.3,48785,67.4,0
581,Klamath County,Oregon,0,70164,79.3,0.3,14.5,46721,61.6,0
582,Lane County,Oregon,4,383189,81.7,1,9.8,61712,65.4,1.04
583,Linn County,Oregon,0,129839,83.5,0.3,10.2,65196,64,0
584,Marion County,Oregon,8,347119,65.1,1.4,28.2,64406,57.8,2.3
585,Multnomah County,Oregon,21,803377,69.2,5.5,12.7,78319,68.7,2.61
586,Polk County,Oregon,0,89164,78.2,0.7,15.3,71532,60.9,0
587,Umatilla County,Oregon,0,79988,70.5,0.7,28.6,58329,56.3,0
588,Washington County,Oregon,13,600811,64.1,2.4,17.6,92147,65.2,2.16
589,Yamhill County,Oregon,0,108239,76.4,0.7,16.8,77256,61.2,0
590,Adams County,Pennsylvania,0,104127,89.8,2.1,7.4,72985,63.6,0
591,Allegheny County,Pennsylvania,25,1238090,76.5,11.8,2.4,69091,69.4,2.02
592,Armstrong County,Pennsylvania,0,65093,96.2,0.8,0.9,54039,68.4,0
593,Beaver County,Pennsylvania,0,166624,87.2,5.2,2,65003,70.7,0
594,Berks County,Pennsylvania,3,429342,70.8,4.6,23.9,68658,60.3,0.7
595,Blair County,Pennsylvania,0,121767,93.5,0.9,1.4,57361,68.9,0
596,Bucks County,Pennsylvania,19,646098,82.3,4,6.1,100144,68.2,2.94
597,Butler County,Pennsylvania,0,194273,92.9,1.3,1.8,78146,68.7,0
598,Cambria County,Pennsylvania,0,132167,92.3,2.8,1.9,52995,66.3,0
599,Carbon County,Pennsylvania,0,65412,92,0.2,6.4,57262,66,0
600,Centre County,Pennsylvania,0,157527,84,3.5,3.1,66789,57.9,0
601,Chester County,Pennsylvania,21,538649,77.1,5.4,7.7,109601,65.4,3.9
602,Clearfield County,Pennsylvania,0,80082,91.7,2.9,3.3,55193,67.5,0
603,Crawford County,Pennsylvania,0,83351,93.7,2,1.6,55593,65.1,0
604,Cumberland County,Pennsylvania,0,262919,83.5,4.5,4.8,82691,65.8,0
605,Dauphin County,Pennsylvania,0,287400,64.6,16.9,10.7,66454,62.9,0
606,Delaware County,Pennsylvania,18,573849,64,21.8,4.5,78220,64.6,3.14
607,Erie County,Pennsylvania,0,269011,82.7,7.3,4.8,56851,65.1,0
608,Fayette County,Pennsylvania,0,126931,89.2,3.2,1.4,47981,65.9,0
609,Franklin County,Pennsylvania,0,156289,86.9,3.3,6.7,66715,63.8,0
610,Indiana County,Pennsylvania,0,82886,92.6,2.2,1.5,52023,61.8,0
611,Lackawanna County,Pennsylvania,0,215663,82.9,2.1,9.5,62136,65.4,0
612,Lancaster County,Pennsylvania,0,553652,81.8,4,11.5,75688,59.6,0
613,Lawrence County,Pennsylvania,0,85497,89.7,4.2,1.8,59536,67.1,0
614,Lebanon County,Pennsylvania,0,143493,79.5,1.2,14.9,72732,61.6,0
615,Lehigh County,Pennsylvania,6,375539,62.1,5.9,28,68738,61.2,1.6
616,Luzerne County,Pennsylvania,9,326053,76.7,3.8,16,60020,64.6,2.76
617,Lycoming County,Pennsylvania,0,113605,89,4.7,2.3,60494,64.7,0
618,Mercer County,Pennsylvania,0,109972,87.1,4.9,1.7,54067,66.5,0
619,Monroe County,Pennsylvania,0,169273,64,12,18.3,78575,65.6,0
620,Montgomery County,Pennsylvania,35,860578,73.9,8.8,5.8,102896,67.2,4.07
621,Northampton County,Pennsylvania,4,313628,74.8,5.7,15.3,79578,65.1,1.28
622,Northumberland County,Pennsylvania,0,91266,90.2,3.1,4.5,50751,65.9,0
623,Philadelphia County,Pennsylvania,71,1576251,34.8,39.3,15.9,52899,60.1,4.5
624,Schuylkill County,Pennsylvania,0,143264,88.5,2.7,6.7,58614,65,0
625,Somerset County,Pennsylvania,0,73627,93.3,2.6,1.7,54352,68.8,0
626,Washington County,Pennsylvania,0,209470,89.5,3.3,1.9,68408,67.6,0
627,Westmoreland County,Pennsylvania,0,353057,91.8,2.4,1.4,63064,70.6,0
628,York County,Pennsylvania,0,458696,81.5,6.6,8.9,72949,64.3,0
629,Kent County,Rhode Island,9,170715,85.5,2.2,6.7,73159,69.6,5.27
630,Newport County,Rhode Island,3,85264,84.9,2.9,6.2,88090,71.3,3.52
631,Providence County,Rhode Island,21,658221,59.8,7,25,67368,58.9,3.19
632,Washington County,Rhode Island,0,130592,90.1,1,3.7,90427,68.2,0
633,Aiken County,South Carolina,12,170776,64.6,23.4,6.3,55138,62.9,7.03
634,Anderson County,South Carolina,7,206908,76.1,12.3,4.4,59037,61,3.38
635,Beaufort County,South Carolina,4,191748,69.8,15.3,11.2,70501,68.4,2.09
636,Berkeley County,South Carolina,10,236701,62.4,23.5,7.5,75004,61.3,4.22
637,Charleston County,South Carolina,24,413024,66.1,24.1,5.5,72147,67.2,5.81
638,Dorchester County,South Carolina,7,163327,63.1,26.5,6.3,70009,62.8,4.29
639,Florence County,South Carolina,11,136504,50.3,43.3,3,51860,59.7,8.06
640,Greenville County,South Carolina,26,533834,67.1,15.7,10,68540,61.6,4.87
641,Greenwood County,South Carolina,4,69241,61.5,30,6.7,52636,59.3,5.78
642,Horry County,South Carolina,15,365579,77.2,12.2,6.3,55819,69.6,4.1
643,Kershaw County,South Carolina,4,66130,68,22.2,5.4,47995,61,6.05
644,Lancaster County,South Carolina,4,100336,70.9,16.6,6.6,69796,63.5,3.99
645,Laurens County,South Carolina,0,67803,66.6,22.5,5.7,56624,57.9,0
646,Lexington County,South Carolina,10,300137,72.3,15.8,6.6,64800,64.2,3.33
647,Oconee County,South Carolina,3,79203,85.3,5,5.9,50393,65.8,3.79
648,Orangeburg County,South Carolina,5,82962,NA,N,2.5,34685,55.5,6.03
649,Pickens County,South Carolina,4,132229,85.4,4.2,4.3,48489,55.6,3.03
650,Richland County,South Carolina,22,418307,40.8,47.3,5.6,56439,58.1,5.26
651,Spartanburg County,South Carolina,131,335864,66.9,19.3,7.9,60472,59.5,39
652,Sumter County,South Carolina,4,104758,44.9,44.8,4.5,46003,59.7,3.82
653,York County,South Carolina,15,288595,69.5,18.8,6.6,72772,62.9,5.2
654,Minnehaha County,South Dakota,4,199685,80.6,6.4,5.6,72748,61.3,2
655,Pennington County,South Dakota,0,111806,78.2,1.1,5.8,64057,65.6,0
656,Anderson County,Tennessee,8,77576,87.7,2.9,3.5,60364,65.5,10.31
657,Blount County,Tennessee,10,137605,89.9,1.2,4,62102,64.9,7.27
658,Bradley County,Tennessee,13,110162,86.4,3.8,7.1,56139,60.3,11.8
659,Davidson County,Tennessee,74,703953,56.4,25.3,10.6,65348,63.4,10.51
660,Greene County,Tennessee,7,70621,91.9,1.5,3.3,56488,65.4,9.91
661,Hamilton County,Tennessee,40,369135,70.3,18.5,6.4,66096,63.6,10.84
662,Knox County,Tennessee,35,486677,81,6.8,4.9,64894,62.6,7.19
663,Madison County,Tennessee,12,98775,54.6,37.1,4.4,53720,61.1,12.15
664,Maury County,Tennessee,9,104760,80.8,10.3,6.8,68840,65.7,8.59
665,Montgomery County,Tennessee,20,227900,63,17.1,11,63331,58.6,8.78
666,Putnam County,Tennessee,8,81188,88.4,2.4,6.9,52278,58,9.85
667,Robertson County,Tennessee,8,74098,82.2,5.4,7.9,65139,61.2,10.8
668,Rutherford County,Tennessee,24,352182,68.3,14.6,9.5,78201,59.5,6.81
669,Sevier County,Tennessee,12,99517,87.4,0.3,7.1,50239,62,12.06
670,Shelby County,Tennessee,95,924454,34.6,53,6.9,54841,59.3,10.28
671,Sullivan County,Tennessee,17,159265,92.7,1.2,2.3,48063,64.9,10.67
672,Sumner County,Tennessee,14,200557,82.2,8.2,5.9,70092,63.6,6.98
673,Washington County,Tennessee,15,134236,87.6,3,4,56009,64.2,11.17
674,Williamson County,Tennessee,5,255735,82.9,3.7,5.2,117927,63.2,1.96
675,Wilson County,Tennessee,10,151917,82.7,6,5.3,80960,65.4,6.58
676,Angelina County,Texas,5,86506,61.6,11,23.4,50045,57.1,5.78
677,Bastrop County,Texas,5,102058,57.7,4.2,42.3,80423,60.2,4.9
678,Bell County,Texas,13,379617,50.1,23.2,26.5,58542,55.9,3.42
679,Bexar County,Texas,134,2028236,40.3,7.5,61.3,63057,55.5,6.61
680,Bowie County,Texas,6,92581,68,25,8.4,54154,60.1,6.48
681,Brazoria County,Texas,20,379689,48.7,15.9,32.3,82460,58,5.27
682,Brazos County,Texas,8,237032,65.8,11.1,27,49362,48.2,3.38
683,Cameron County,Texas,31,423029,34,0.4,90,48115,43.4,7.33
684,Collin County,Texas,36,1109462,55.1,10.9,15.8,101494,62.6,3.24
685,Comal County,Texas,4,174986,67.4,2.7,29.2,93829,63.5,2.29
686,Coryell County,Texas,4,84232,58.3,16,20,62737,56.5,4.75
687,Dallas County,Texas,214,2586050,33.9,22.2,41.4,63494,52.6,8.28
688,Denton County,Texas,25,941647,57.7,10.4,20,97671,62.9,2.65
689,Ector County,Texas,11,161091,41.5,4.7,64.7,57473,45.7,6.83
690,Ellis County,Texas,9,202678,58.5,13.8,28.1,89799,56.7,4.44
691,El Paso County,Texas,42,867947,28.7,3,82.9,51044,50.9,4.84
692,Fort Bend County,Texas,30,858527,32.9,20.8,25.5,96468,59.7,3.49
693,Galveston County,Texas,21,355062,59,11.9,26.4,78336,61.1,5.91
694,Grayson County,Texas,6,139336,77.8,5.7,15,62919,62.2,4.31
695,Gregg County,Texas,16,124201,57.7,18.3,20.1,59869,55.9,12.88
696,Guadalupe County,Texas,6,177036,55.6,7.8,39.4,80464,60,3.39
697,Harris County,Texas,411,4728030,33.3,18.6,44.4,63498,52.8,8.69
698,Harrison County,Texas,4,69150,64.2,19,14.3,59405,60.3,5.78
699,Hays County,Texas,11,255397,58.4,3.3,40.6,76842,54.1,4.31
700,Henderson County,Texas,8,83667,77.7,6.1,14.3,49830,58.4,9.56
701,Hidalgo County,Texas,58,880356,25.9,0.7,92.6,44818,39.4,6.59
702,Hunt County,Texas,4,103394,73.5,7.3,19.5,56761,61.1,3.87
703,Jefferson County,Texas,14,253704,41.3,31.6,23.1,56904,58.5,5.52
704,Johnson County,Texas,9,187280,73.5,4.9,24.2,77933,57.5,4.81
705,Kaufman County,Texas,7,157768,57.2,15.4,25.9,72175,56.2,4.44
706,Liberty County,Texas,4,97621,58.9,7.9,34.3,55697,46.7,4.1
707,Lubbock County,Texas,10,314451,60.9,7.4,37.3,57798,53.2,3.18
708,McLennan County,Texas,16,263115,58.2,13.4,27.6,60437,54.6,6.08
709,Midland County,Texas,12,167969,55.7,5.5,48.2,82248,53.6,7.14
710,Montgomery County,Texas,21,648886,68.2,6.2,26.4,86903,58.8,3.24
711,Nueces County,Texas,23,353079,39.4,3.2,65.2,59983,55.9,6.51
712,Orange County,Texas,4,84742,80.2,8.6,9.3,71022,59.7,4.72
713,Parker County,Texas,0,156764,82.1,0.5,14,85641,62.5,0
714,Potter County,Texas,9,116547,56.2,9.6,40.1,44721,46.6,7.72
715,Randall County,Texas,4,143854,73.2,4.3,24.9,70322,61.7,2.78
716,Rockwall County,Texas,0,116381,67.5,8.4,20.2,121568,62.1,0
717,San Patricio County,Texas,6,69699,52.6,1,58.7,59276,53.9,8.61
718,Smith County,Texas,18,237186,70.5,17,20.7,63115,58.4,7.59
719,Tarrant County,Texas,117,2126477,47.5,17.8,30.2,71346,56.2,5.5
720,Taylor County,Texas,11,143326,67.6,8,26,53315,53.7,7.67
721,Tom Green County,Texas,10,119411,64.5,3.1,42,61649,55.1,8.37
722,Travis County,Texas,85,1305154,55,7.9,33.4,84531,65.2,6.51
723,Victoria County,Texas,13,90964,57.2,5.8,49.1,54596,54.2,14.29
724,Walker County,Texas,4,77977,58.1,19.2,18.7,41470,51.5,5.13
725,Webb County,Texas,16,267945,20.2,0.3,95.4,51867,40.8,5.97
726,Wichita County,Texas,7,130069,69.7,10.2,20.7,53465,55.8,5.38
727,Williamson County,Texas,24,643026,60.3,6.6,25.4,96073,63.3,3.73
728,Wise County,Texas,4,71714,77.7,0.7,20.8,81400,58.6,5.58
729,Cache County,Utah,8,137417,84.3,0.2,11.2,69154,49.3,5.82
730,Davis County,Utah,15,367285,84,1.3,10.7,93182,57.2,4.08
731,Salt Lake County,Utah,54,1186421,71.6,1.7,19.3,80712,59.1,4.55
732,Tooele County,Utah,4,76640,86.9,1.5,14.2,93908,55.5,5.22
733,Utah County,Utah,14,684986,82.3,0.6,12.7,86781,49,2.04
734,Washington County,Utah,7,191226,85.5,0.5,11.3,61186,60.6,3.66
735,Weber County,Utah,15,267066,79.8,1.1,18.8,72087,58.1,5.62
736,Chittenden County,Vermont,0,168865,87.3,2.3,2.6,85213,64.8,0
737,Albemarle County,Virginia,3,113535,76.7,8.3,5.9,92568,64.6,2.64
738,Arlington County,Virginia,5,232965,61.4,9.2,15.6,125651,70.1,2.15
739,Augusta County,Virginia,0,77563,NA,N,3.7,68584,67.9,0
740,Bedford County,Virginia,0,80131,85.3,5,2.7,66415,67.8,0
741,Chesterfield County,Virginia,0,370688,59.1,23.6,10.2,85796,63,0
742,Fairfax County,Virginia,31,1139720,49.9,9.5,16.6,134115,64.6,2.72
743,Fauquier County,Virginia,0,73815,80.9,5,10.4,108497,63.1,0
744,Frederick County,Virginia,0,93717,79.8,3.7,10.6,86044,62.7,0
745,Hanover County,Virginia,0,111603,81.6,7.6,3.5,94381,65,0
746,Henrico County,Virginia,13,333554,50.6,29.7,6.3,78868,65.2,3.9
747,James City County,Virginia,0,79882,76.2,13.4,6.6,88604,69.2,0
748,Loudoun County,Virginia,3,427592,53.3,7.6,13.9,153506,61.4,0.7
749,Montgomery County,Virginia,0,98473,83.5,4.7,3.7,55210,54.6,0
750,Prince William County,Virginia,14,484472,43.7,20.4,25.4,118117,58.4,2.89
751,Roanoke County,Virginia,0,96589,84.1,4.9,3.6,72231,68.2,0
752,Rockingham County,Virginia,0,84394,87.3,1.2,8.2,73163,60.3,0
753,Spotsylvania County,Virginia,6,143676,64.7,17.5,11.8,101289,61,4.18
754,Stafford County,Virginia,3,160877,57.2,19.6,15.5,117251,59.9,1.86
755,York County,Virginia,0,70915,69.2,10.9,7.5,97758,66.2,0
756,Alexandria city,Virginia,5,154706,52.8,21,16.5,101162,71.8,3.23
757,Chesapeake city,Virginia,6,251269,55.5,26.4,7.3,88815,62.5,2.39
758,Hampton city,Virginia,7,137746,37.4,47.5,6.7,57647,62.8,5.08
759,Lynchburg city,Virginia,5,79009,60.6,28.5,4.8,56110,48.9,6.33
760,Newport News city,Virginia,8,184587,41.1,40.5,10,58937,59.3,4.33
761,Norfolk city,Virginia,10,235089,43.8,40.3,9.1,58591,56.2,4.25
762,Portsmouth city,Virginia,6,97840,36,50.4,5.2,54429,60.4,6.13
763,Richmond city,Virginia,11,226604,42.1,42.9,7.8,51770,63,4.85
764,Roanoke city,Virginia,4,98865,58.3,29.2,7.1,47202,63.3,4.05
765,Suffolk city,Virginia,4,96194,47.2,40.3,4.9,79556,63.4,4.16
766,Virginia Beach city,Virginia,15,457672,60.7,18.6,8.9,81634,65.9,3.28
767,Benton County,Washington,0,210025,68.8,1.6,24,77059,57.5,0
768,Chelan County,Washington,0,79646,67.5,0.5,28.7,65847,58.5,0
769,Clallam County,Washington,0,78209,80.7,0.9,7.4,62695,72.3,0
770,Clark County,Washington,6,511404,76.4,2.1,11,83837,64,1.17
771,Cowlitz County,Washington,0,111524,83.3,0.2,9.9,71194,63.8,0
772,Franklin County,Washington,0,98268,46.5,1.5,54.1,81940,44.1,0
773,Grant County,Washington,0,100297,57.1,0.4,43.1,62227,52.2,0
774,Grays Harbor County,Washington,0,76841,78.3,0.6,10.9,54631,66.4,0
775,Island County,Washington,0,87432,79,2.9,8.7,76505,68.2,0
776,King County,Washington,40,2252305,56.1,6.6,10.3,110586,68,1.78
777,Kitsap County,Washington,0,274314,75.5,3.6,8.5,87314,68.2,0
778,Lewis County,Washington,0,84398,82.5,0.8,11.4,65047,64.3,0
779,Mason County,Washington,0,67615,76.5,0.4,11.3,77070,68,0
780,Pierce County,Washington,8,925708,64.4,7.1,12.2,85866,63.2,0.86
781,Skagit County,Washington,0,130696,74,0.6,19.5,72648,64.7,0
782,Snohomish County,Washington,11,833540,65.8,3.8,11.2,100042,65.8,1.32
783,Spokane County,Washington,10,546040,82.3,2.3,6.6,65722,65.4,1.83
784,Thurston County,Washington,3,297977,72.7,3,10.1,81659,66.5,1.01
785,Whatcom County,Washington,0,228831,78.6,1,10.3,72055,63.7,0
786,Yakima County,Washington,8,256035,44.7,0.8,51.8,61012,45.9,3.12
787,Berkeley County,West Virginia,0,126069,80.9,6.3,5.4,71733,61.8,0
788,Cabell County,West Virginia,0,93418,89.6,3.6,1.5,47020,62.7,0
789,Harrison County,West Virginia,0,65158,91.9,0.9,1.9,51533,63.6,0
790,Kanawha County,West Virginia,0,177952,87.5,6.7,1.2,56122,66.6,0
791,Monongalia County,West Virginia,0,106387,87.7,2.8,2.3,56347,58.9,0
792,Raleigh County,West Virginia,0,73771,NA,N,1.7,38687,61.5,0
793,Wood County,West Virginia,0,83624,94.8,0.9,1.3,54153,66,0
794,Brown County,Wisconsin,12,269591,78.7,2.5,9.7,66191,62.8,4.45
795,Dane County,Wisconsin,10,563951,77.9,5.2,6.9,77221,63.9,1.77
796,Dodge County,Wisconsin,0,89313,88.4,1.9,5.8,65773,66.5,0
797,Eau Claire County,Wisconsin,3,106452,88.1,1.5,2.9,62445,61.2,2.82
798,Fond du Lac County,Wisconsin,4,104362,87.2,2.3,6,69068,64.9,3.83
799,Jefferson County,Wisconsin,0,84943,89,0.9,7.8,68319,64.3,0
800,Kenosha County,Wisconsin,5,168732,75.3,4.6,14.4,70971,62.9,2.96
801,La Crosse County,Wisconsin,4,120433,88.4,0.6,2.3,60382,62.8,3.32
802,Manitowoc County,Wisconsin,3,81505,89.9,0.4,4.9,57918,66.3,3.68
803,Marathon County,Wisconsin,5,137648,87.9,0.8,3.1,74494,65.1,3.63
804,Milwaukee County,Wisconsin,51,928059,50.8,26.5,16.4,56347,59.8,5.5
805,Outagamie County,Wisconsin,0,191545,86.1,1.4,4.9,73057,64.8,0
806,Ozaukee County,Wisconsin,0,92497,89.9,1.5,3.5,85402,69.4,0
807,Portage County,Wisconsin,3,70468,89.7,1.3,3.8,65928,63.2,4.26
808,Racine County,Wisconsin,6,196896,71.1,11.1,14.8,68758,63.5,3.05
809,Rock County,Wisconsin,6,164381,81.9,4.9,9.7,66090,64,3.65
810,St. Croix County,Wisconsin,0,95044,91.6,0.5,2.8,93547,66.2,0
811,Sheboygan County,Wisconsin,0,117747,83.5,2.3,7.2,62188,65.6,0
812,Walworth County,Wisconsin,3,106799,85.9,1,11.6,69996,63,2.81
813,Washington County,Wisconsin,0,137175,91,0.9,3.5,83384,68.1,0
814,Waukesha County,Wisconsin,5,408756,87.1,1.7,5.3,94171,68.7,1.22
815,Winnebago County,Wisconsin,8,171623,86.8,3.4,4.7,64095,64.5,4.66
816,Wood County,Wisconsin,5,74070,90.8,0.8,3.6,52627,67,6.75
817,Laramie County,Wyoming,5,100863,81.9,4,15.5,61381,63.7,4.96
818,Natrona County,Wyoming,6,79555,87.1,0.1,9.3,63605,63.8,7.54
819,Arecibo Municipio,Puerto Rico,4,87053,8.2,1.2,99.5,18341,59.9,4.59
820,Bayamón Municipio,Puerto Rico,4,182673,9.4,4.8,99.5,26014,63.7,2.19
821,Caguas Municipio,Puerto Rico,0,126756,39,11.2,98.9,26473,61.5,0
822,Carolina Municipio,Puerto Rico,0,152993,19.8,15.7,99.5,30734,65.3,0
823,Guaynabo Municipio,Puerto Rico,4,89195,15.8,3.5,98.8,44673,66.7,4.48
824,Mayagüez Municipio,Puerto Rico,0,71939,7.6,2.1,99.7,15941,48.8,0
825,Ponce Municipio,Puerto Rico,0,135084,34,3.8,99.6,17876,58.7,0
826,San Juan Municipio,Puerto Rico,13,337300,25.5,10.2,98.2,22175,63.3,3.85
827,Toa Alta Municipio,Puerto Rico,0,67569,20.8,2.6,99.7,26292,63.4,0
828,Toa Baja Municipio,Puerto Rico,4,74368,14,4.9,99.7,30561,60.3,5.38
829,Trujillo Alto Municipio,Puerto Rico,0,67211,48.6,14.2,99.3,36349,63.8,0
